no,device_id,pm25,pm10,temp,humi,reg_date
3548735,D0012,12.8,13.1,16.7,50.5,2023-03-25 16:18:24.698103
3548754,D0012,12.2,12.7,16.7,51.7,2023-03-25 16:19:24.698245
3548772,D0012,13.0,13.4,16.6,52.0,2023-03-25 16:20:24.71686
3548791,D0012,12.6,13.1,16.5,53.0,2023-03-25 16:21:23.723872
3548810,D0012,13.2,13.7,16.4,51.5,2023-03-25 16:22:23.704335
3548829,D0012,13.4,13.8,16.4,51.5,2023-03-25 16:23:24.717682
3548848,D0012,13.1,13.5,16.3,53.4,2023-03-25 16:24:24.717136
3548867,D0012,13.1,13.7,16.5,52.3,2023-03-25 16:25:24.715606
3548886,D0012,12.7,13.1,16.6,50.7,2023-03-25 16:26:23.749927
3548905,D0012,11.9,12.2,16.7,51.4,2023-03-25 16:27:23.724219
3548924,D0012,12.1,12.4,16.8,52.6,2023-03-25 16:28:24.722396
3548943,D0012,12.4,12.6,16.7,52.6,2023-03-25 16:29:24.722841
3548962,D0012,12.7,13.2,16.8,51.8,2023-03-25 16:30:24.766572
3548981,D0012,12.5,12.8,16.8,51.5,2023-03-25 16:31:24.755513
3549000,D0012,12.9,13.3,16.8,51.8,2023-03-25 16:32:24.744068
3549019,D0012,13.6,14.0,16.8,52.8,2023-03-25 16:33:23.738897
3549038,D0012,12.9,13.2,16.8,51.8,2023-03-25 16:34:24.785061
3549057,D0012,12.8,13.0,16.9,51.3,2023-03-25 16:35:24.746011
3549076,D0012,12.8,12.9,16.8,51.4,2023-03-25 16:36:24.760792
3549095,D0012,12.6,12.6,16.8,51.6,2023-03-25 16:37:24.759547
3549114,D0012,12.9,13.1,16.8,50.3,2023-03-25 16:38:24.776603
3549133,D0012,13.1,13.3,16.8,51.3,2023-03-25 16:39:23.761982
3549152,D0012,11.8,12.2,16.7,50.9,2023-03-25 16:40:23.768953
3549171,D0012,12.3,12.5,16.7,50.5,2023-03-25 16:41:23.809735
3549189,D0012,12.1,12.3,16.8,51.0,2023-03-25 16:42:24.762172
3549208,D0012,12.6,12.9,16.9,49.7,2023-03-25 16:43:23.772512
3549227,D0012,12.3,12.7,17.0,49.9,2023-03-25 16:44:23.786791
3549246,D0012,12.4,12.8,17.0,49.9,2023-03-25 16:45:24.77305
3549265,D0012,12.1,12.5,16.8,50.7,2023-03-25 16:46:23.7818
3549284,D0012,12.2,12.6,16.8,51.0,2023-03-25 16:47:24.784262
3549303,D0012,11.8,12.2,16.8,51.0,2023-03-25 16:48:24.782674
3549322,D0012,12.3,12.7,16.9,50.4,2023-03-25 16:49:24.789788
