 format: day,hour,value location:81_75 Start : 20230101 
 29, 0000, 96.000000 
 29, 0100, 27.000000 
 29, 0200, 333.000000 
 29, 0300, 163.000000 
 29, 0400, 104.000000 
 29, 0500, 301.000000 
 29, 0600, 282.000000 
 29, 0700, 273.000000 
 29, 0800, 272.000000 
 29, 0900, 248.000000 
 29, 1000, 191.000000 
 29, 1100, 205.000000 
 29, 1200, 236.000000 
 29, 1300, 242.000000 
 29, 1400, 354.000000 
 29, 1500, 191.000000 
 29, 1600, 7.000000 
 29, 1700, 346.000000 
 29, 1800, 348.000000 
 29, 1900, 12.000000 
 29, 2000, 32.000000 
 29, 2100, 118.000000 
 29, 2200, 209.000000 
 29, 2300, 222.000000 
 30, 0000, 197.000000 
 30, 0100, 276.000000 
 30, 0200, 335.000000 
 30, 0300, 348.000000 
 30, 0400, 14.000000 
 30, 0500, 14.000000 
 30, 0600, 5.000000 
 30, 0700, 352.000000 
 30, 0800, 319.000000 
 30, 0900, 12.000000 
 30, 1000, 242.000000 
 30, 1100, 243.000000 
 30, 1200, 290.000000 
 30, 1300, 349.000000 
 30, 1400, 0.000000 
 30, 1500, 55.000000 
 30, 1600, 57.000000 
 30, 1700, 0.000000 
 30, 1800, 7.000000 
 30, 1900, 0.000000 
 30, 2000, 20.000000 
 30, 2100, 16.000000 
 30, 2200, 52.000000 
 30, 2300, 185.000000 
 31, 0000, 53.000000 
 31, 0100, 259.000000 
 31, 0200, 100.000000 
 31, 0300, 266.000000 
 31, 0400, 177.000000 
 31, 0500, 151.000000 
 31, 0600, 173.000000 
 31, 0700, 213.000000 
 31, 0800, 103.000000 
 31, 0900, 68.000000 
 31, 1000, 34.000000 
 31, 1100, 38.000000 
 31, 1200, 0.000000 
 31, 1300, 332.000000 
 31, 1400, 289.000000 
 31, 1500, 128.000000 
 31, 1600, 321.000000 
 31, 1700, 348.000000 
 31, 1800, 0.000000 
 31, 1900, 83.000000 
 31, 2000, 317.000000 
 31, 2100, 3.000000 
 31, 2200, 342.000000 
 31, 2300, 289.000000 
 
